neuropil,sample,global_clustering,density,reciprocity,average_strength,n_nodes,n_edges
NO,0,0.4221183078853087,0.014226634454091806,0.3292547274749722,,1232,21576
NO,1,0.42016963617400876,0.014226634454091806,0.3387096774193548,,1232,21576
NO,2,0.42455152471439117,0.014226634454091806,0.3307842046718576,,1232,21576
NO,3,0.42660890012542896,0.014226634454091806,0.33101594364108267,,1232,21576
NO,4,0.4249951590532459,0.014226634454091806,0.3242955135335558,,1232,21576
NO,5,0.4240108103780983,0.014226634454091806,0.328513162773452,,1232,21576
NO,6,0.4231960326076541,0.014226634454091806,0.3281423804226919,,1232,21576
NO,7,0.42391366442588596,0.014226634454091806,0.3261494252873563,,1232,21576
NO,8,0.4190791900192761,0.014226634454091806,0.32934742306266224,,1232,21576
NO,9,0.4238516124244685,0.014226634454091806,0.3278179458657768,,1232,21576
NO,10,0.41984160483717314,0.014226634454091806,0.32837411939191696,,1232,21576
NO,11,0.42148276060813933,0.014226634454091806,0.3260567296996663,,1232,21576
NO,12,0.4217608079182661,0.014226634454091806,0.3296718576195773,,1232,21576
NO,13,0.4235255243286938,0.014226634454091806,0.3340748980348535,,1232,21576
NO,14,0.4234908729441533,0.014226634454091806,0.32262699295513536,,1232,21576
NO,15,0.42550824618076244,0.014226634454091806,0.3238783833889507,,1232,21576
NO,16,0.4207317660319861,0.014226634454091806,0.3359288097886541,,1232,21576
NO,17,0.42270608134699855,0.014226634454091806,0.3245736002966259,,1232,21576
NO,18,0.41991478216459177,0.014226634454091806,0.335558027437894,,1232,21576
NO,19,0.4214934017189113,0.014226634454091806,0.3268446421950315,,1232,21576
NO,20,0.4227766996759672,0.014226634454091806,0.328652206154987,,1232,21576
NO,21,0.42525763474275935,0.014226634454091806,0.3255469039673711,,1232,21576
NO,22,0.42199607409160983,0.014226634454091806,0.32522246941045607,,1232,21576
NO,23,0.42469273057104834,0.014226634454091806,0.33045977011494254,,1232,21576
NO,24,0.4226037597331751,0.014226634454091806,0.33236002966258804,,1232,21576
NO,25,0.4187245765520946,0.014226634454091806,0.32823507601038193,,1232,21576
NO,26,0.4230832251761718,0.014226634454091806,0.3240637745643307,,1232,21576
NO,27,0.419439737412556,0.014226634454091806,0.3343993325917686,,1232,21576
NO,28,0.42133862162593566,0.014226634454091806,0.3305988134964776,,1232,21576
