neuropil,sample,global_clustering,density,reciprocity,average_strength,n_nodes,n_edges
IPS_R,0,0.1188709478564553,0.00604381585515132,0.06003166173871527,,4445,119387
IPS_R,1,0.11911624970893347,0.00604381585515132,0.05960447954969972,,4445,119387
IPS_R,2,0.11893505610033175,0.00604381585515132,0.0594202048799283,,4445,119387
IPS_R,3,0.11844851048812521,0.00604381585515132,0.05972174524864516,,4445,119387
IPS_R,4,0.11970005305505899,0.00604381585515132,0.06067662308291522,,4445,119387
IPS_R,5,0.11978350374269342,0.00604381585515132,0.05913541675391793,,4445,119387
IPS_R,6,0.11940606197598284,0.00604381585515132,0.061187566485463245,,4445,119387
IPS_R,7,0.12003125997396398,0.00604381585515132,0.06077713653915418,,4445,119387
IPS_R,8,0.11935337346660072,0.00604381585515132,0.060735255932387947,,4445,119387
IPS_R,9,0.11956904831209395,0.00604381585515132,0.05972174524864516,,4445,119387
IPS_R,10,0.11906697675047492,0.00604381585515132,0.05837318971077253,,4445,119387
IPS_R,11,0.11936689724114492,0.00604381585515132,0.05982225870488412,,4445,119387
IPS_R,12,0.11895380215414576,0.00604381585515132,0.061355088912528166,,4445,119387
IPS_R,13,0.1199799946168463,0.00604381585515132,0.060517476777203545,,4445,119387
IPS_R,14,0.11924986038453161,0.00604381585515132,0.060869273874039884,,4445,119387
IPS_R,15,0.11979773163466582,0.00604381585515132,0.05970499300593867,,4445,119387
IPS_R,16,0.12014363447162484,0.00604381585515132,0.06045884392773083,,4445,119387
IPS_R,17,0.11986667817159602,0.00604381585515132,0.06158124418906581,,4445,119387
IPS_R,18,0.12004098333763231,0.00604381585515132,0.0601824319230737,,4445,119387
IPS_R,19,0.12074324306516707,0.00604381585515132,0.060827393267273655,,4445,119387
IPS_R,20,0.1195185245767398,0.00604381585515132,0.060542605141263285,,4445,119387
IPS_R,21,0.12042148188296323,0.00604381585515132,0.05994790052518281,,4445,119387
IPS_R,22,0.11929621936919982,0.00604381585515132,0.06040858719961135,,4445,119387
IPS_R,23,0.11979580890751525,0.00604381585515132,0.06021593640848669,,4445,119387
IPS_R,24,0.11960614289917515,0.00604381585515132,0.059026527176325734,,4445,119387
IPS_R,25,0.11943497655946975,0.00604381585515132,0.059855763190297104,,4445,119387
IPS_R,26,0.11901912420104017,0.00604381585515132,0.06066824696156198,,4445,119387
