neuropil,num_nodes,num_edges,reciprocity,connection_density,average_edge_strength,global_clustering,diameter,mean_shortest_path_length,n_nodes_lcc,n_edges_lcc,PC1,PC2
AL_L,3616,140046,0.427902261,0.010713564,5.430658498,0.141050182,7,2.194122728,2954,137360,-0.4428392208721164,2.8075731313844288
AL_R,3739,140612,0.417048332,0.010060687,5.173463147,0.140109043,9,2.395491393,3166,137609,-0.40900973958114994,2.287813290540359
AME_L,664,3942,0.183155758,0.00895437,2.790715373,0.293977597,10,3.447566998,269,3031,-1.4227856274226767,0.20100128738820616
AME_R,720,3881,0.185003865,0.007496909,3.22700335,0.311666686,13,3.86913935,248,2904,-1.506472074362136,-0.24917532838073642
AMMC_L,1667,31842,0.146033541,0.011465414,3.07804158,0.198630666,8,2.901002406,1161,28873,-1.0869131809787245,0.5245001591632313
AMMC_R,1937,32689,0.129646058,0.008716992,3.113983297,0.173467445,13,3.114219606,1257,28970,-0.9554941680927935,-0.5534322434780873
AOTU_L,1700,46924,0.269073395,0.016246235,3.88882022,0.288660002,8,2.962821259,1406,45277,-1.5685909603799386,2.1189602838354893
AOTU_R,1854,51272,0.243914807,0.014924339,4.205082696,0.269592468,9,3.00912039,1476,48528,-1.4803595165843326,1.7891826552716878
ATL_L,1672,16961,0.106361653,0.006070699,2.224279229,0.178155118,11,3.529709624,1037,13856,-0.8039269872242503,-1.17849043682726
ATL_R,1606,15034,0.110017294,0.00583249,2.244711986,0.187286034,10,3.594415527,942,11795,-0.8165194456583342,-1.0635901388034026
AVLP_L,5022,368725,0.22772527,0.014622972,4.095249847,0.243771471,7,2.540683121,4215,365701,-0.24252775174818103,2.2273877044069406
AVLP_R,6181,452236,0.213525681,0.011839079,4.424364712,0.234016346,11,2.686849499,5310,447775,0.15352335899390857,1.5212587600832193
BU_L,334,1346,0.147102526,0.012101922,3.043833581,0.212438759,10,3.57045045,75,306,-1.4674420246923894,0.05667572995386112
BU_R,422,1989,0.226244344,0.011195416,5.042232278,0.275151664,9,2.985772358,124,946,-1.6707950941889391,1.634328856247627
CAN_L,606,5303,0.052046012,0.014464174,2.520837262,0.136532618,10,3.448304123,309,3218,-1.3345630361909522,-0.5401070715694392
